Experiment
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
0.0,0.0,0.0,0.02824561779858366
10.0,0.0,0.0,0.027398329843501427
20.0,0.0,0.0,0.02426578886170342
30.0,0.0,0.0,0.01987763383791988
40.0,0.0,0.0,0.014599620729745532
50.0,0.0,0.0,0.011611768368791683
60.0,0.0,0.0,0.008995598260582705
70.0,0.0,0.0,0.005815198230237765
80.0,0.0,0.0,0.005783765581754579
90.0,0.0,0.0,0.005121159259041354
100.0,0.0,0.0,0.004458584107159086
110.0,0.0,0.0,0.003039523644277574
120.0,0.0,0.0,0.005231961728283078
130.0,0.0,0.0,0.0029488922344392088
140.0,0.0,0.0,0.0027510643230475324
150.0,0.0,0.0,0.002858110186918843
160.0,0.0,0.0,0.003185605900195703
170.0,0.0,0.0,0.004722338791325131
180.0,0.0,0.0,0.0055223001353195324
190.0,0.0,0.0,0.0058270739706601515
200.0,0.0,0.0,0.005376246166695429
210.0,0.0,0.0,0.004611243125330921
220.0,0.0,0.0,0.0037339678636429956
230.0,0.0,0.0,0.0028560203678907603
240.0,0.0,0.0,0.0036486943630249322
250.0,0.0,0.0,0.0053367304614993965
260.0,0.0,0.0,0.007688208610999322
270.0,0.0,0.0,0.010321370255210766
280.0,0.0,0.0,0.013267712631048105
290.0,0.0,0.0,0.016371836315395405
300.0,0.0,0.0,0.020099098395201822
310.0,0.0,0.0,0.021995122879481008
320.0,0.0,0.0,0.023640506662542055
330.0,0.0,0.0,0.025434835725056625
340.0,0.0,0.0,0.02708293423266732
350.0,0.0,0.0,0.02835432320870924
360.0,0.0,0.0,0.029021592870844253
